Code Domaine,Domaine,Code zone (M49),Zone,Code Élément,Élément,Code Produit (CPC),Produit,Code année,Année,Unité,Valeur,Symbole,Description du Symbole,Note
"QCL","Cultures et produits animaux","470","Malte","5112","Réserves","02151","Poulets","2023","2023","1000 têtes","790","A","Chiffre officiel",""
"QCL","Cultures et produits animaux","504","Maroc","5112","Réserves","02151","Poulets","2023","2023","1000 têtes","225540","I","Valeur imputée par une agence réceptrice",""
"QCL","Cultures et produits animaux","480","Maurice","5112","Réserves","02151","Poulets","2023","2023","1000 têtes","16417","I","Valeur imputée par une agence réceptrice",""
"QCL","Cultures et produits animaux","478","Mauritanie","5112","Réserves","02151","Poulets","2023","2023","1000 têtes","4786","I","Valeur imputée par une agence réceptrice",""
"QCL","Cultures et produits animaux","484","Mexique","5112","Réserves","02151","Poulets","2023","2023","1000 têtes","621072","A","Chiffre officiel",""
"QCL","Cultures et produits animaux","583","Micronésie (États fédérés de)","5112","Réserves","02151","Poulets","2023","2023","1000 têtes","193","I","Valeur imputée par une agence réceptrice",""
"QCL","Cultures et produits animaux","496","Mongolie","5112","Réserves","02151","Poulets","2023","2023","1000 têtes","1795","A","Chiffre officiel",""
"QCL","Cultures et produits animaux","499","Monténégro","5112","Réserves","02151","Poulets","2023","2023","1000 têtes","855","A","Chiffre officiel",""
"QCL","Cultures et produits animaux","508","Mozambique","5112","Réserves","02151","Poulets","2023","2023","1000 têtes","19880","A","Chiffre officiel",""
"QCL","Cultures et produits animaux","104","Myanmar","5112","Réserves","02151","Poulets","2023","2023","1000 têtes","135000","E","Valeur estimée",""
"QCL","Cultures et produits animaux","516","Namibie","5112","Réserves","02151","Poulets","2023","2023","1000 têtes","4217","E","Valeur estimée",""
"QCL","Cultures et produits animaux","520","Nauru","5112","Réserves","02151","Poulets","2023","2023","1000 têtes","5","I","Valeur imputée par une agence réceptrice",""
"QCL","Cultures et produits animaux","524","Népal","5112","Réserves","02151","Poulets","2023","2023","1000 têtes","65205","A","Chiffre officiel",""
"QCL","Cultures et produits animaux","558","Nicaragua","5112","Réserves","02151","Poulets","2023","2023","1000 têtes","28010","I","Valeur imputée par une agence réceptrice",""
"QCL","Cultures et produits animaux","562","Niger","5112","Réserves","02151","Poulets","2023","2023","1000 têtes","20854","I","Valeur imputée par une agence réceptrice",""
"QCL","Cultures et produits animaux","566","Nigéria","5112","Réserves","02151","Poulets","2023","2023","1000 têtes","234795","I","Valeur imputée par une agence réceptrice",""
"QCL","Cultures et produits animaux","570","Nioué","5112","Réserves","02151","Poulets","2023","2023","1000 têtes","19","E","Valeur estimée",""
"QCL","Cultures et produits animaux","578","Norvège","5112","Réserves","02151","Poulets","2023","2023","1000 têtes","16484","A","Chiffre officiel",""
"QCL","Cultures et produits animaux","540","Nouvelle-Calédonie","5112","Réserves","02151","Poulets","2023","2023","1000 têtes","605","E","Valeur estimée",""
"QCL","Cultures et produits animaux","554","Nouvelle-Zélande","5112","Réserves","02151","Poulets","2023","2023","1000 têtes","25274","A","Chiffre officiel",""
"QCL","Cultures et produits animaux","512","Oman","5112","Réserves","02151","Poulets","2023","2023","1000 têtes","5040","I","Valeur imputée par une agence réceptrice",""
"QCL","Cultures et produits animaux","800","Ouganda","5112","Réserves","02151","Poulets","2023","2023","1000 têtes","71001","A","Chiffre officiel",""
"QCL","Cultures et produits animaux","860","Ouzbékistan","5112","Réserves","02151","Poulets","2023","2023","1000 têtes","85911","I","Valeur imputée par une agence réceptrice",""
"QCL","Cultures et produits animaux","586","Pakistan","5112","Réserves","02151","Poulets","2023","2023","1000 têtes","1887000","A","Chiffre officiel",""
"QCL","Cultures et produits animaux","591","Panama","5112","Réserves","02151","Poulets","2023","2023","1000 têtes","30103","A","Chiffre officiel",""
