Code Domaine,Domaine,Code zone (M49),Zone,Code Élément,Élément,Code Produit,Produit,Code année,Année,Unité,Valeur,Symbole,Description du Symbole,Note
"OA","Séries temporelles annuelles","533","Aruba","551","Population rurale","3010","Population-Estimations","2023","2023","1000 No","59.918","X","Chiffre de source externe",""
"OA","Séries temporelles annuelles","533","Aruba","561","Population urbaine","3010","Population-Estimations","2023","2023","1000 No","47.566","X","Chiffre de source externe",""
"OA","Séries temporelles annuelles","654","Ascension, Sainte-Hélène et Tristan da Cunha","511","Population totale","3010","Population-Estimations","2023","2023","1000 No","5.289","X","Chiffre de source externe",""
"OA","Séries temporelles annuelles","654","Ascension, Sainte-Hélène et Tristan da Cunha","551","Population rurale","3010","Population-Estimations","2023","2023","1000 No","2.485","X","Chiffre de source externe",""
"OA","Séries temporelles annuelles","654","Ascension, Sainte-Hélène et Tristan da Cunha","561","Population urbaine","3010","Population-Estimations","2023","2023","1000 No","1.702","X","Chiffre de source externe",""
"OA","Séries temporelles annuelles","036","Australie","511","Population totale","3010","Population-Estimations","2023","2023","1000 No","26451.124","X","Chiffre de source externe",""
"OA","Séries temporelles annuelles","036","Australie","551","Population rurale","3010","Population-Estimations","2023","2023","1000 No","3517.928","X","Chiffre de source externe",""
"OA","Séries temporelles annuelles","036","Australie","561","Population urbaine","3010","Population-Estimations","2023","2023","1000 No","22768.759","X","Chiffre de source externe",""
"OA","Séries temporelles annuelles","040","Autriche","511","Population totale","3010","Population-Estimations","2023","2023","1000 No","9130.429","X","Chiffre de source externe",""
"OA","Séries temporelles annuelles","040","Autriche","551","Population rurale","3010","Population-Estimations","2023","2023","1000 No","3577.856","X","Chiffre de source externe",""
"OA","Séries temporelles annuelles","040","Autriche","561","Population urbaine","3010","Population-Estimations","2023","2023","1000 No","5263.01","X","Chiffre de source externe",""
"OA","Séries temporelles annuelles","031","Azerbaïdjan","511","Population totale","3010","Population-Estimations","2023","2023","1000 No","10318.207","X","Chiffre de source externe",""
"OA","Séries temporelles annuelles","031","Azerbaïdjan","551","Population rurale","3010","Population-Estimations","2023","2023","1000 No","4378.246","X","Chiffre de source externe",""
"OA","Séries temporelles annuelles","031","Azerbaïdjan","561","Population urbaine","3010","Population-Estimations","2023","2023","1000 No","5942.187","X","Chiffre de source externe",""
"OA","Séries temporelles annuelles","044","Bahamas","511","Population totale","3010","Population-Estimations","2023","2023","1000 No","399.44","X","Chiffre de source externe",""
"OA","Séries temporelles annuelles","044","Bahamas","551","Population rurale","3010","Population-Estimations","2023","2023","1000 No","68.421","X","Chiffre de source externe",""
"OA","Séries temporelles annuelles","044","Bahamas","561","Population urbaine","3010","Population-Estimations","2023","2023","1000 No","349.415","X","Chiffre de source externe",""
"OA","Séries temporelles annuelles","048","Bahreïn","511","Population totale","3010","Population-Estimations","2023","2023","1000 No","1569.666","X","Chiffre de source externe",""
"OA","Séries temporelles annuelles","048","Bahreïn","551","Population rurale","3010","Population-Estimations","2023","2023","1000 No","183.211","X","Chiffre de source externe",""
"OA","Séries temporelles annuelles","048","Bahreïn","561","Population urbaine","3010","Population-Estimations","2023","2023","1000 No","1625.232","X","Chiffre de source externe",""
"OA","Séries temporelles annuelles","050","Bangladesh","511","Population totale","3010","Population-Estimations","2023","2023","1000 No","171466.99","X","Chiffre de source externe",""
"OA","Séries temporelles annuelles","050","Bangladesh","551","Population rurale","3010","Population-Estimations","2023","2023","1000 No","104140.792","X","Chiffre de source externe",""
"OA","Séries temporelles annuelles","050","Bangladesh","561","Population urbaine","3010","Population-Estimations","2023","2023","1000 No","70806.614","X","Chiffre de source externe",""
"OA","Séries temporelles annuelles","052","Barbade","511","Population totale","3010","Population-Estimations","2023","2023","1000 No","282.336","X","Chiffre de source externe",""
"OA","Séries temporelles annuelles","052","Barbade","551","Population rurale","3010","Population-Estimations","2023","2023","1000 No","198.133","X","Chiffre de source externe",""
"OA","Séries temporelles annuelles","052","Barbade","561","Population urbaine","3010","Population-Estimations","2023","2023","1000 No","90.795","X","Chiffre de source externe",""
"OA","Séries temporelles annuelles","112","Bélarus","511","Population totale","3010","Population-Estimations","2023","2023","1000 No","9115.68","X","Chiffre de source externe",""
"OA","Séries temporelles annuelles","112","Bélarus","551","Population rurale","3010","Population-Estimations","2023","2023","1000 No","1803.173","X","Chiffre de source externe",""
